tim_1;tim_2;kondisi_team1_player1;kondisi_team1_player2;kondisi_team2_player1;kondisi_team2_player2;score
David/Moel;Wawo/Angga;Pemulihan;Cedera;Cedera;Sakit;'2-0
Arya/David;Dennis/Eka;Cedera;Sehat;Sehat;Cedera;'2-1
Eka/David;Wawo/Arya;Sehat;Pemulihan;Pemulihan;Sehat;'1-2
David/Eka;Wirawan/Arya;Sakit;Sehat;Cedera;Pemulihan;'2-1
Wawo/Arya;Eka/Dennis;Cedera;Sakit;Sehat;Cedera;'1-2
Eka/Moel;Angga/Wawo;Sehat;Sehat;Pemulihan;Cedera;'2-0
Angga/Dennis;Wirawan/Wawo;Cedera;Cedera;Sehat;Pemulihan;'2-1
David/Angga;Arya/Wirawan;Cedera;Cedera;Cedera;Sakit;'1-2
Moel/Wawo;Dennis/David;Sakit;Sakit;Pemulihan;Pemulihan;'1-2
Arya/David;Wawo/Angga;Sakit;Sehat;Pemulihan;Sehat;'2-0
Wirawan/David;Wawo/Angga;Pemulihan;Sakit;Sakit;Cedera;'2-0
Arya/Eka;Wirawan/David;Pemulihan;Cedera;Cedera;Sehat;'1-2
Eka/Angga;Wirawan/Wawo;Pemulihan;Cedera;Sakit;Cedera;'0-2
David/Moel;Arya/Angga;Cedera;Pemulihan;Sehat;Sehat;'0-2
Moel/Eka;Dennis/David;Sehat;Sakit;Sehat;Pemulihan;'2-0
David/Arya;Wawo/Moel;Pemulihan;Sakit;Sehat;Pemulihan;
Dennis/Wirawan;Angga/Arya;Cedera;Pemulihan;Cedera;Sehat;'2-0
Wirawan/Arya;Moel/Dennis;Sakit;Cedera;Pemulihan;Cedera;'2-1
Wirawan/Dennis;Arya/Moel;Cedera;Cedera;Cedera;Sehat;'2-1
Wirawan/Arya;Moel/Eka;Cedera;Sakit;Sakit;Pemulihan;'0-2
Eka/David;Moel/Angga;Sehat;Sehat;Sehat;Pemulihan;'2-1
Arya/Eka;Wirawan/Wawo;Cedera;Pemulihan;Cedera;Pemulihan;'2-1
Dennis/Wirawan;Moel/Eka;Sehat;Sehat;Pemulihan;Pemulihan;'1-2
Arya/David;Wawo/Moel;Pemulihan;Pemulihan;Pemulihan;Sakit;'1-2
Arya/Moel;Wawo/Eka;Pemulihan;Sehat;Sehat;Cedera;'2-0
Dennis/Moel;Eka/Wawo;Sehat;Cedera;Cedera;Sakit;'2-1
Arya/Angga;Eka/Moel;Cedera;Sehat;Sakit;Pemulihan;'2-0
Angga/Arya;David/Dennis;Pemulihan;Sakit;Sakit;Cedera;'0-2
Wawo/Wirawan;Dennis/Eka;Sehat;Cedera;Sehat;Pemulihan;'2-0
Wawo/Eka;Arya/David;Sehat;Sehat;Sehat;Cedera;'0-2
Moel/Wawo;Dennis/Arya;Sakit;Pemulihan;Cedera;Cedera;'2-0
Wirawan/Angga;David/Arya;Sehat;Cedera;Pemulihan;Sakit;'2-1
Eka/Dennis;Wawo/Arya;Cedera;Sehat;Sakit;Sakit;'2-1
Eka/David;Dennis/Wirawan;Sakit;Sakit;Sakit;Cedera;'2-0
Wirawan/Moel;Wawo/Eka;Pemulihan;Sehat;Cedera;Sakit;'2-0
Wawo/Dennis;Arya/David;Pemulihan;Sehat;Sakit;Pemulihan;'2-0
Moel/Wawo;Wirawan/Dennis;Sehat;Pemulihan;Sehat;Pemulihan;'2-1
Angga/Wawo;Wirawan/Eka;Cedera;Cedera;Sehat;Sakit;'1-2
Arya/Wirawan;Dennis/Eka;Sakit;Cedera;Pemulihan;Sakit;'1-2
Moel/Angga;Dennis/Eka;Sehat;Sehat;Cedera;Sakit;'1-2
Arya/David;Moel/Wirawan;Sakit;Pemulihan;Sehat;Sehat;'0-2
Moel/Angga;Eka/Dennis;Sehat;Pemulihan;Cedera;Sehat;'2-0
Eka/Angga;Wirawan/Arya;Sehat;Sehat;Cedera;Sakit;'0-2
Moel/Angga;David/Eka;Pemulihan;Sakit;Sakit;Pemulihan;'2-0
Eka/Arya;Dennis/David;Cedera;Cedera;Sakit;Sakit;'2-1
David/Wirawan;Angga/Wawo;Sehat;Cedera;Pemulihan;Pemulihan;'2-0
Wirawan/Wawo;David/Eka;Sakit;Sakit;Pemulihan;Pemulihan;'2-0
Angga/Wirawan;Wawo/Moel;Cedera;Sehat;Sehat;Cedera;'2-1
Moel/Wawo;Wirawan/Eka;Pemulihan;Sakit;Pemulihan;Pemulihan;'0-2
Moel/Eka;Arya/Wawo;Sehat;Cedera;Sakit;Pemulihan;'0-2
Wirawan/Dennis;Eka/Arya;Sakit;Sakit;Cedera;Sakit;'0-2
Angga/Eka;Arya/Wawo;Sakit;Sehat;Sehat;Pemulihan;'1-2
Wirawan/Dennis;Arya/Wawo;Cedera;Pemulihan;Sehat;Sakit;'1-2
Wirawan/Arya;Angga/David;Sakit;Cedera;Pemulihan;Cedera;'0-2
Arya/Wirawan;David/Moel;Sehat;Sakit;Sehat;Sakit;'2-1
Arya/Wirawan;Angga/Dennis;Pemulihan;Pemulihan;Sehat;Cedera;'0-2
Dennis/Wirawan;Angga/David;Cedera;Sehat;Sehat;Sehat;'2-1
David/Angga;Arya/Dennis;Sehat;Sakit;Cedera;Cedera;'2-1
Moel/Arya;Wirawan/David;Cedera;Cedera;Cedera;Pemulihan;'2-1
Moel/Arya;Dennis/David;Sehat;Cedera;Sehat;Sehat;'2-0
Eka/Dennis;David/Wirawan;Cedera;Pemulihan;Sakit;Sakit;'0-2
Dennis/Angga;Wawo/Wirawan;Pemulihan;Cedera;Pemulihan;Sehat;'2-0
Angga/Eka;Arya/David;Cedera;Cedera;Sakit;Cedera;'2-0
Arya/Wirawan;Angga/Eka;Pemulihan;Sakit;Pemulihan;Sehat;'1-2
David/Arya;Dennis/Eka;Cedera;Sakit;Cedera;Sehat;'2-0
Arya/Angga;Moel/Wawo;Cedera;Cedera;Pemulihan;Cedera;'2-0
Angga/Eka;Moel/Arya;Cedera;Sakit;Cedera;Pemulihan;'0-2
Wawo/Wirawan;Moel/Dennis;Cedera;Sakit;Sakit;Sehat;'2-0
David/Wirawan;Wawo/Moel;Cedera;Sehat;Sakit;Sehat;'0-2
Wirawan/Arya;Dennis/Wawo;Cedera;Sakit;Cedera;Cedera;'0-2
Arya/Angga;Dennis/Wawo;Sakit;;Pemulihan;Pemulihan;'2-0
David/Dennis;Wawo/Angga;Pemulihan;Sakit;Pemulihan;Pemulihan;'1-2
Arya/David;Moel/Wawo;Cedera;Cedera;Pemulihan;Sakit;'2-1
Dennis/Wawo;Wirawan/Angga;Sakit;Pemulihan;Sakit;Sehat;'2-1
Moel/Angga;Dennis/Eka;Sakit;Pemulihan;Cedera;Sakit;'2-1
David/Eka;Dennis/Angga;Sakit;Sehat;Cedera;Pemulihan;'1-2
David/Moel;Dennis/Wawo;Pemulihan;Sakit;Pemulihan;Sehat;'2-0
Wirawan/Dennis;Eka/Arya;Cedera;Cedera;Sehat;Pemulihan;'2-0
Moel/David;Arya/Eka;Sakit;Sakit;Sehat;Sehat;'0-2
Moel/Angga;Dennis/Arya;Pemulihan;Cedera;Sehat;Sehat;'0-2
Wirawan/Arya;Angga/Eka;Sakit;Sehat;Sakit;Sehat;'2-0
Moel/Wawo;Dennis/Arya;Sehat;Cedera;Sehat;Pemulihan;'2-1
Arya/Dennis;David/Moel;Cedera;Sakit;Cedera;Pemulihan;'2-1
Wawo/Eka;Dennis/Moel;Pemulihan;Pemulihan;Cedera;Sakit;'2-0
Wirawan/Arya;David/Moel;Sehat;Sakit;Sehat;Sehat;'1-2
Arya/Wirawan;Angga/Moel;Sehat;Cedera;Cedera;Pemulihan;'0-2
Eka/David;Arya/Wirawan;Sakit;Cedera;Sakit;Sakit;'1-2
Angga/Moel;Arya/Wawo;Sakit;Sakit;Sehat;Pemulihan;'1-2
Angga/Arya;David/Wawo;Sakit;Cedera;Pemulihan;Pemulihan;'2-0
Dennis/Moel;Arya/Wawo;Sakit;Sakit;Sakit;Cedera;'0-2
Dennis/Moel;Eka/Wirawan;Sakit;Sakit;Sakit;Pemulihan;'1-2
David/Arya;Eka/Angga;Cedera;Cedera;Pemulihan;Pemulihan;'1-2
Angga/Eka;Moel/Wawo;Cedera;Pemulihan;Pemulihan;Pemulihan;'1-2
Moel/Eka;Dennis/Wirawan;Sakit;Sehat;Pemulihan;Sehat;'2-0
Angga/Moel;Dennis/Wirawan;Sakit;Sehat;Sehat;Sakit;'2-0
Angga/Moel;Wirawan/Eka;Pemulihan;Sehat;Cedera;Cedera;'2-0
Wirawan/Moel;Arya/Angga;Sakit;Cedera;Sakit;Sakit;'1-2
Dennis/Wirawan;Wawo/Moel;Sehat;Cedera;Cedera;Cedera;'2-0
Wirawan/Eka;Dennis/Wawo;Sakit;Sakit;Sehat;Pemulihan;'2-0
Dennis/Angga;David/Wawo;Sakit;Sakit;Cedera;Sakit;'0-2
David/Angga;Wawo/Dennis;Sehat;Sehat;Sakit;Cedera;'1-2
Arya/Wawo;Eka/Angga;Sehat;Sehat;Pemulihan;Sehat;'2-1
Arya/Wirawan;Eka/Moel;Sakit;Pemulihan;Cedera;Cedera;'1-2
Moel/Wirawan;Arya/Wawo;Sehat;Pemulihan;Cedera;Cedera;'2-0
Wirawan/Dennis;Arya/Angga;Pemulihan;Sehat;Cedera;Sakit;'2-0
Wawo/Eka;Moel/Wirawan;Pemulihan;Pemulihan;Sehat;Sakit;'2-0
Moel/Arya;Angga/Eka;Sakit;Pemulihan;Pemulihan;Pemulihan;'0-2
Dennis/Wawo;David/Eka;Sehat;Sakit;Sakit;Pemulihan;'1-2
Angga/Eka;Dennis/Wirawan;Cedera;Sakit;Cedera;Cedera;'2-0
Wirawan/Moel;Wawo/David;Pemulihan;Sehat;Sakit;Cedera;'2-0
Moel/Angga;Dennis/Wirawan;Pemulihan;Sehat;Sakit;Cedera;'2-1
David/Arya;Moel/Eka;Sakit;Cedera;Pemulihan;Pemulihan;'1-2
Angga/Wawo;Moel/David;Pemulihan;Sakit;Sehat;Sehat;'0-2
David/Wawo;Moel/Dennis;Pemulihan;Sakit;Sehat;Pemulihan;'2-0
Dennis/Wirawan;Eka/Wawo;Cedera;Sehat;Sakit;Sakit;'1-2
Wawo/Dennis;Angga/Moel;Cedera;Cedera;Cedera;Cedera;'0-2
Wawo/Angga;David/Eka;Pemulihan;Pemulihan;Cedera;Sakit;'1-2
Wawo/Moel;Wirawan/David;Pemulihan;Cedera;Sakit;Sakit;'0-2
Dennis/Wirawan;Angga/Wawo;Sakit;Sehat;Cedera;Sehat;'2-0
Arya/Wirawan;Dennis/Angga;Sehat;Cedera;Pemulihan;Sakit;'2-1
Wirawan/David;Moel/Wawo;Pemulihan;Sehat;Sakit;Sehat;'0-2
Wawo/Moel;Arya/Angga;Pemulihan;Sehat;Pemulihan;Sehat;'1-2
Moel/Arya;Wirawan/David;Cedera;Sehat;Cedera;Sakit;'0-2
Dennis/Angga;Eka/David;Sakit;Cedera;Pemulihan;Pemulihan;'1-2
David/Moel;Wirawan/Angga;Pemulihan;Cedera;Sehat;Pemulihan;'0-2
Arya/Eka;David/Wirawan;Pemulihan;Cedera;Sehat;Pemulihan;'1-2
Wirawan/Eka;Wawo/Dennis;Sakit;Sakit;Sakit;Cedera;'2-1
Moel/Arya;David/Eka;Cedera;Sakit;Sakit;Sehat;'1-2
Eka/Wawo;Dennis/Moel;Sehat;Sehat;Sehat;Sakit;'0-2
Moel/David;Dennis/Wirawan;Sakit;Pemulihan;Sakit;Cedera;'0-2
Wirawan/Eka;Angga/David;Sakit;Sakit;Pemulihan;Cedera;'1-2
Arya/Moel;Wawo/David;Sakit;Pemulihan;Sakit;Cedera;'2-0
Dennis/Eka;Moel/Angga;Sakit;Sakit;Sehat;Sehat;'0-2
Arya/Angga;Wirawan/Wawo;Pemulihan;Pemulihan;Cedera;Pemulihan;'2-0
Wawo/Eka;Arya/Angga;Sehat;Pemulihan;Sehat;Sakit;'2-0
Arya/Dennis;Wirawan/Wawo;Cedera;Cedera;Cedera;Cedera;'2-1
Dennis/Arya;Moel/Wirawan;Cedera;Sehat;Cedera;Sehat;'0-2
Wawo/Wirawan;Moel/Arya;Cedera;Cedera;Cedera;Sakit;'2-1
Arya/David;Angga/Wawo;Sakit;Pemulihan;Sehat;Cedera;'2-1
Eka/Angga;Moel/Wirawan;Sehat;Sehat;Cedera;Sehat;'1-2
Angga/Eka;Arya/Moel;Sehat;Cedera;Cedera;Sakit;'2-1
Wirawan/Angga;Moel/Dennis;Sakit;Pemulihan;Cedera;Cedera;'2-1
Dennis/Wawo;Moel/Arya;Pemulihan;Sehat;Cedera;Sakit;'1-2
Angga/Eka;Arya/Wawo;Cedera;Sakit;Pemulihan;Sakit;'2-1
David/Wawo;Arya/Dennis;Sakit;Sakit;Sakit;Pemulihan;'1-2
Moel/Wirawan;Eka/Arya;Sakit;Cedera;Sakit;Pemulihan;'0-2
Wirawan/Dennis;Arya/Moel;Pemulihan;Sehat;Pemulihan;Sakit;'2-0
Eka/Arya;Moel/David;Sehat;Sehat;Cedera;Cedera;'0-2
Eka/Arya;David/Dennis;Sakit;Sakit;Sehat;Sehat;'0-2
Wirawan/Angga;Dennis/Wawo;Sakit;Sehat;Sehat;Cedera;'2-1
David/Arya;Eka/Angga;Cedera;Pemulihan;;Sehat;'2-0
Eka/Angga;Arya/David;Sakit;Pemulihan;Cedera;Sakit;'2-0
Moel/Arya;Wawo/David;Pemulihan;Pemulihan;Sehat;Pemulihan;'2-0
Dennis/Angga;Eka/Arya;Pemulihan;Sehat;Sakit;Sehat;'1-2
Arya/Moel;Wirawan/Eka;Sehat;Sakit;Sehat;Sehat;'1-2
Angga/Wawo;David/Arya;Sehat;Cedera;Pemulihan;Pemulihan;'2-0
Wawo/Wirawan;Moel/Angga;Pemulihan;Sehat;Cedera;Cedera;'1-2
Eka/Dennis;Moel/Angga;Sehat;Sehat;Pemulihan;Sehat;'0-2
Dennis/Wawo;Arya/David;Sakit;Pemulihan;Pemulihan;Pemulihan;'2-0
Eka/Angga;David/Wirawan;Sehat;Pemulihan;Pemulihan;Pemulihan;'2-1
Wirawan/Dennis;Angga/Moel;Sakit;Pemulihan;Sakit;Sehat;'2-1
Moel/David;Wirawan/Arya;Cedera;Cedera;Sehat;Sakit;'2-0
Arya/Wirawan;Moel/Angga;Pemulihan;Cedera;Sakit;Pemulihan;'0-2
Eka/Dennis;Angga/Wirawan;Pemulihan;Cedera;Sehat;Cedera;'1-2
Arya/Wawo;Eka/Wirawan;Sakit;Sakit;Pemulihan;Sehat;'2-1
Angga/Wirawan;Wawo/Arya;Cedera;Sakit;Cedera;Sehat;'1-2
Angga/Dennis;Moel/Eka;Cedera;Pemulihan;Sakit;Cedera;'2-1
Angga/Wawo;Wirawan/Dennis;Cedera;Pemulihan;Sehat;Sehat;'1-2
Moel/Eka;Angga/Arya;Pemulihan;Pemulihan;Pemulihan;Pemulihan;'2-1
Arya/Wirawan;Wawo/Angga;Sehat;Sehat;Pemulihan;Sehat;'1-2
Eka/Wawo;David/Dennis;Sakit;Sehat;Sakit;Sehat;'2-0
Eka/Angga;Wawo/Dennis;Sehat;Sehat;Cedera;Sakit;'2-0
Arya/Dennis;Wawo/Angga;Sehat;Sehat;Sehat;Pemulihan;'0-2
Eka/Wirawan;Arya/Angga;Sehat;Pemulihan;Sakit;Cedera;'1-2
David/Arya;Dennis/Eka;Cedera;Sehat;Sehat;Pemulihan;'0-2
David/Wawo;Dennis/Eka;Sakit;Sehat;Sehat;Cedera;'1-2
Dennis/Wirawan;Moel/Arya;Pemulihan;Cedera;Sehat;Pemulihan;'2-0
Arya/Wawo;Angga/Wirawan;Pemulihan;Sakit;Pemulihan;Sehat;'2-1
Arya/Dennis;Moel/Wawo;Pemulihan;Cedera;Pemulihan;Sakit;'2-1
Wirawan/Angga;Arya/Wawo;Sehat;Sehat;Sehat;Sakit;'2-1
Wawo/Wirawan;David/Arya;Sehat;Sakit;Sakit;Sakit;'1-2
Arya/Moel;Angga/David;Cedera;Sakit;Sakit;Sehat;'2-1
David/Arya;Wawo/Dennis;Cedera;Cedera;Sakit;Pemulihan;'2-0
Wirawan/Dennis;Angga/Arya;Sakit;Pemulihan;Cedera;Pemulihan;'2-1
Wirawan/Wawo;Eka/Moel;Sehat;Sakit;Sehat;Sakit;'0-2
